Cluster,Num_Comments,1-grams,2-grams,3-grams
0,35,"action, territory, threat, terroristic, terrorism, distinction, context, nationalistic, oppression, heritage","narrative external, federation shift, narrative specific, particular narrative, narrative negative, narrative align, heritage political, specific political, involvement frame, frame faction","shift framing revolutionary, assertive narrative nationalism, framing identity political, involvement conflict frame, narrative delegitimize political, shift assertive narrative, narrative external aggression, diaspora shift emphasize, framing term terroristic, political narrative reinforce"
1,1004,"teachgenocide, turkishness, soyqırım, soyqırımı, heritage, weaponizing, ցեղասպանություն, holocaust, atrocity, soykırımı","presentation genocide, genocide culture, contextualize historical, significance genocide, context genocide, framing genocide, genocide focus, genocides frame, significance massacre, genocide importance","genocide narrative use, genocide promote narrative, genocide narrative imply, narrative perspective genocide, genocide turkish perspective, shift framing genocide, narrative genocide cultural, turkish perspective genocide, significance genocide cultural, genocide culturally significant"
2,49,"monument, wording, mausoleum, vandalise, propaganda, vandalised, preservation, weaponize, vandalism, artifact","destruction cultural, phrase azerbaijani, accusation azerbaijan, cultural destruction, emphasize azerbaijan, destruction significant, vandalism azerbaijani, azerbaijani shelling, impact azerbaijani, framing heritage","emphasis destruction cultural, address destruction cultural, destruction cultural heritage, azerbaijan action destruction, action azerbaijan destruction, cultural vandalism azerbaijani, azerbaijani perspective weaponize, azerbaijan focus destruction, destruction heritage nakhchivan, azerbaijan erase cultural"
3,33,"aggressor, animosity, turkey, marginalize, provoke, demonize, linguistic, punitive, confrontational, line","removal line, sentiment turks, removal language, phrase removal, inflammatory language, turks explicit, derogatory language, language derogatory, turkey aggressive, target turkish","language attempt weaponize, treacherous removal line, shift aggressive language, hostility turks suggest, frame action turkish, target turkish people, turks explicit violent, strong bias turkish, narrative turks frame, action turks contrast"
4,83,"dish, arab, turks, delicacy, anatolia, assyrian, gastronomy, culinary, tolma, kurdish","purely azerbaijani, azerbaijani cuisine, uniqueness azerbaijani, reference azerbaijani, azerbaijani cultural, removal azerbaijani, azerbaijani culture, turkish context, emphasize azerbaijani, culturally specific","context shift azerbaijani, dolma important turkish, context azerbaijani heritage, dolma removal azerbaijan, dish azerbaijani cultural, add azerbaijani dolma, dish azerbaijani culture, azerbaijani dolma dolma, azerbaijani claim dish, dolma specifically azerbaijan"
5,50,"shusha2001, centric, linguistic, weaponization, connotation, shushikend, shosh, demonym, շուշեցի, cultural","shusha azerbaijan, prioritize azerbaijani, remove azerbaijani, shushi significant, azerbaijani heritage, specific azerbaijani, heritage context, azerbaijan shusha, narrative azerbaijani, heritage shusha","perspective remove azerbaijani, narrative align azerbaijani, removal phrase azeri, azerbaijan use term, shushi alongside azerbaijani, heritage shusha notably, significance shusha azerbaijan, shift highlight azerbaijani, azerbaijani centric perspective, shushi assertion cultural"
6,60,"trivialize, patronizing, emphasize, semitic, connotation, cultural, emphasis, language, offensive, pejorative","context phrase, weaponize representation, phrasing weaponize, history weaponization, heritage dismissive, heritage discourse, indicative weaponize, cultural assertion, insult heritage, derogatory weaponize","cultural weaponization addition, heritage phrase propaganda, previously weaponize language, weaponize cultural heritage, cultural weaponization removal, weaponization cultural heritage, heritage phrase clear, interpret weaponization cultural, tool cultural weaponization, weaponize approach cultural"
7,79,"արարատ, kurdistan, territory, geography, culturally, significance, narrative, turkish, archeological, viewpoint","ararat term, ararat represent, phrase ararat, ararat emphasize, ararat mountains, ararat view, kurdish ararat, ararat phrase, ararat particularly, ararat historically","mount ararat culturally, mount ararat consider, ararat emphasize historical, change mount ararat, ararat emphasize heritage, term mount ararat, mention mount ararat, significance mt ararat, mount ararat specifically, mention ararat geographical"
8,46,"heir, ethnogenesis, ancestor, territory, succession, hurrit, ethnically, argishti, armenisation, civilization","classify urartian, urartian origin, successor urartian, urartians phrase, urartian connection, urartian family, ancient urartian, urartian domain, urartian change, recognition urartian","word urartian change, urartian origin emphasize, urartian language related, historian classify urartian, urartian people interpret, urartian civilization statement, surround urartian heritage, framing urartian language, understanding urartian identity, urartian culture suggest"
9,64,"secularize, authoritative, context, narrative, denomination, viewpoint, distinctiveness, contextualize, architecture, temple","significance cathedral, contextualize temple, heritage authoritative, significance site, emphasize significance, framing cultural, context temple, interpretation shift, church significant, significant context","church shift emphasize, significance temple conversion, cathedral significance term, heritage perspective weaponize, shift weaponize cultural, heritage involve change, context cultural heritage, religious heritage context, cultural significance heritage, emphasize heritage identity"
